Institution,Titre_du_poste,Domaine,Date
SOS Villages d'Enfants Haiti,Coordonnateur de Securite,Sécurité,16-Oct-21
Clean Cooking Alliance,Agent de l'environnement,Environnement et Sciences de la Terre,16-Oct-21
ISPD,Key Population Advisor,Santé et Professions médicales,15-Oct-21
Mercy Corps Haiti,Officier Senior des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",15-Oct-21
MDM Canada,Coordonnateur (trice) de Base,"Management/Gestion, Finance, Comptabilité et Commerce",15-Oct-21
Mercy Corps Haiti,Assistant d’Approvisionnement Grand-Anse,"Management/Gestion, Finance, Comptabilité et Commerce",15-Oct-21
Mercy Corps Haiti,Officier a la  Logistique Grand-Anse,"Management/Gestion, Finance, Comptabilité et Commerce",15-Oct-21
CARE Haiti,Spécialiste en Genre/Protection pour l’Intervention d’Urgence,Sciences Humaines et Sociales,15-Oct-21
Concern Worldwide Haiti,Officier (ère) Administration & Ressources Humaines,Secrétariat,15-Oct-21
Secteur ong,Directeur Exécutif du Fonds Haïtien pour la Biodiversité,"Management/Gestion, Finance, Comptabilité et Commerce",15-Oct-21
Habitat pour l'humanite Haiti,Field Office Manager,"Management/Gestion, Finance, Comptabilité et Commerce",15-Oct-21
CARE Haiti,Officier(e) de Suivi & Évaluation (MEAL)- Programme Urgence,Sciences Humaines et Sociales,15-Oct-21
Secteur ong,Un(e) Directeur / Directrice de programmes,Sciences de l’Education,15-Oct-21
PADF/HAITI,Executive and New Business Development Assistant,Marketing,15-Oct-21
Graphic Plus,Graphiste,Marketing,15-Oct-21
CRS,Chargé des achats,"Management/Gestion, Finance, Comptabilité et Commerce",14-Oct-21
CRS,Comptable des projets d`urgences,"Management/Gestion, Finance, Comptabilité et Commerce",14-Oct-21
CRS,Chargé d’entrepôt,"Management/Gestion, Finance, Comptabilité et Commerce",14-Oct-21
CRS,Gestionnaire des opérations,"Management/Gestion, Finance, Comptabilité et Commerce",14-Oct-21
CESVI,Operations Coordinator,"Management/Gestion, Finance, Comptabilité et Commerce",13-Oct-21
Solidarites International,Responsable d’activité Gestion des Risques et des Désastres,Sciences de l’Ingénieur,12-Oct-21
Solidarites International,Responsable d’Activités Urgence,Sciences de l’Ingénieur,12-Oct-21
FONKOZE,Direktè Jeneral Adjwen,"Management/Gestion, Finance, Comptabilité et Commerce",12-Oct-21
CRS,Chargé des risques et de la conformité,"Management/Gestion, Finance, Comptabilité et Commerce",12-Oct-21
J/P HRO,Ingénieur spécialisée en la réhabilitation des systèmes d’eau potable Eau et Assainissement,Sciences de l’Ingénieur,11-Oct-21
Food for the Hungry,Responsable du Service d'Achat,"Management/Gestion, Finance, Comptabilité et Commerce",11-Oct-21
FAO,Spécialiste en Communication,Communication et Journalisme,11-Oct-21
Save the Children en Haiti,Officier logistique EHU,Transport et Logistique,11-Oct-21
UGP/MSPP/PEPFAR,Chargé (e) de Portefeuilles régionaux,Santé et Professions médicales,11-Oct-21
UGP/MSPP/PEPFAR,Chef d'equipe de gestion des portefeuilles,Santé et Professions médicales,11-Oct-21
IFRC,Logistics Senior Officer,Transport et Logistique,07-Oct-21
IFRC,Fleet Officer,Transport et Logistique,07-Oct-21
Food for the Hungry,Assistant M&E,"Management/Gestion, Finance, Comptabilité et Commerce",06-Oct-21
Action Contre la Faim - Haïti,Chargé Volet Cash & Voucher BHA,Agriculture – Agroalimentaire,06-Oct-21
CRS,Ingénieur civil,Sciences de l’Ingénieur,06-Oct-21
Action Contre la Faim - Haïti,Officier/Officière MEAL,Sciences économiques et politiques,05-Oct-21
British Embassy (FCO - Gov.UK),Political Affairs Officer,Sciences économiques et politiques,05-Oct-21
Save the Children en Haiti,Conseillère Alimentation de Nourrisson et du Jeune Enfant en Urgence,Santé et Professions médicales,04-Oct-21
PNUD Haiti,Analyste national.e Paix et Développement,Sciences Humaines et Sociales,04-Oct-21
Institut Panos,Points Focaux Départementaux pour la Campagne E=E,Santé et Professions médicales,03-Oct-21
FHF,Officier de Sauvegarde,Sciences Humaines et Sociales,03-Oct-21
Action Contre la Faim - Haïti,Officier Technique Nutrition et Santé,Santé et Professions médicales,01-Oct-21
Action Contre la Faim - Haïti,Chargé (e) de volet Nutrition et Santé,Santé et Professions médicales,01-Oct-21
Mercy Corps Haiti,"Monitoring,Evaluation and Learning Manager",Sciences économiques et politiques,01-Oct-21
Mercy Corps Haiti,"Deputy Monitoring,Evaluation and Learning Manager",Sciences économiques et politiques,01-Oct-21
CECI,Comptable de projets (Port-au-Prince),"Management/Gestion, Finance, Comptabilité et Commerce",01-Oct-21
CECI,Comptable de projets (Cap-Haitien),"Management/Gestion, Finance, Comptabilité et Commerce",01-Oct-21
MDM Canada,Comptable Nippes,"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-21
Secteur projet,Spécialiste Suivi-Evaluation Départementale,"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-21
Secteur prive,Project Manager,Mécanique,30-Sep-21
Secteur projet,Responble Logistique,"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-21
Secteur projet,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-21
UCMIT/UCP,Statisticien,Sciences économiques et politiques,30-Sep-21
MDM Canada,Responsable finance et administration,"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-21
HELP,Receptionniste,"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-21
RANFOSE,Responsable Administratif et Financier,"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-21
RANFOSE,Coordonnateur/trice de Suivi & Évaluation,Sciences économiques et politiques,30-Sep-21
ADEMA,Responsable Programme Éducation,Sciences de l’Education,30-Sep-21
CRS,"Technical Advisor II, Monitoring and Evaluation Lead",Sciences économiques et politiques,30-Sep-21
ADEMA,Directeur Administratif et Financier,"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-21
COTN,Rédacteur de Subvention (Grant Writer),"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-21
World Concern,Haiti Finance & Administration Manager,"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-21
KRIFA,Gestionnaire comptable,"Management/Gestion, Finance, Comptabilité et Commerce",29-Sep-21
GOAL Haiti,Programme Director (ADCP),Sciences Humaines et Sociales,29-Sep-21
CRS,Marketing and Communications Manager (MCM),Communication et Journalisme,28-Sep-21
Palmis Eneji,Assistante Administrative,Secrétariat,27-Sep-21
Palmis Eneji,Responsable Etudes et Prestations,"Management/Gestion, Finance, Comptabilité et Commerce",27-Sep-21
Industrias San Miguel,Support technique,Sciences Informatiques,27-Sep-21
Food for the Hungry,Infirmieres,Santé et Professions médicales,27-Sep-21
Food for the Hungry,Officier de Reponse,Agriculture – Agroalimentaire,27-Sep-21
Save the Children en Haiti,"Monitoring, Evaluation, Accountability and Learning (Meal) Coordinator",Sciences Informatiques,27-Sep-21
Save the Children en Haiti,Gestionnaire du Programme de Santé,Santé et Professions médicales,27-Sep-21
PNUD Haiti,Expert (e) en Suivi et Evaluation,Sciences Humaines et Sociales,27-Sep-21
Save the Children en Haiti,Director Human Resources and Administration,"Management/Gestion, Finance, Comptabilité et Commerce",27-Sep-21
CRS,Resilience and Sustainability Senior Advisor,Sciences Humaines et Sociales,27-Sep-21
Save the Children en Haiti,Chef de projet de construction,Sciences de l’Ingénieur,27-Sep-21
Save the Children en Haiti,Commis aux données,Sciences Informatiques,27-Sep-21
Save the Children en Haiti,Officier de flotte,Transport et Logistique,27-Sep-21
Save the Children en Haiti,Emergency Health Unit WASH Engineering Officer,Sciences de l’Ingénieur,27-Sep-21
Save the Children en Haiti,Cash Voucher Assistance (CVA) Programme Manager,"Management/Gestion, Finance, Comptabilité et Commerce",27-Sep-21
Unilever,Production Coordinator,Sciences de l’Ingénieur,27-Sep-21
Action Contre la Faim - Haïti,Responsable Projet WASH DRR,Sciences de l’Ingénieur,26-Sep-21
ISTEAH,Adjointe administrative,Secrétariat,25-Sep-21
ZL/PIH,Project Manager,Santé et Professions médicales,25-Sep-21
PADF/HAITI,Coordonnateur de Terrain à La Gônave,Environnement et Sciences de la Terre,25-Sep-21
PADF/HAITI,Project Manager,Environnement et Sciences de la Terre,25-Sep-21
PADF/HAITI,Technicien / Assistant Coordonnateur de Terrain à La Gônave,Environnement et Sciences de la Terre,25-Sep-21
PADF/HAITI,Technicien Mobilisateur,Environnement et Sciences de la Terre,25-Sep-21
ISPD,Psychologue,Santé et Professions médicales,24-Sep-21
ISPD,Agent Administratif Logistique,Transport et Logistique,24-Sep-21
Sogesol,Responsable des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",24-Sep-21
Mercy Corps Haiti,Officier de Programme Cash et wash,"Management/Gestion, Finance, Comptabilité et Commerce",24-Sep-21
Mercy Corps Haiti,Officier Responsable du Changement de Comportement en Nutrition,Santé et Professions médicales,24-Sep-21
Mercy Corps Haiti,"Assistant de suivi, Evaluation et Apprentissage","Management/Gestion, Finance, Comptabilité et Commerce",24-Sep-21
UGP/MSPP/PEPFAR,Directeur/trice des Finances de l'Unité de Gestion des Projets,Santé et Professions médicales,24-Sep-21
UGP/MSPP/PEPFAR,Chargé/e de l’assainissement et de l’hygiène au sein des établissements de santé,Santé et Professions médicales,24-Sep-21
Académie du Progrès,Professeur d'anglais / Professeur d'espagnol,Langues et Lettres,24-Sep-21
Clinton Health Access Initiative,Management and Strategy Associate,"Management/Gestion, Finance, Comptabilité et Commerce",24-Sep-21
Solidarites International,Responsable Accès humanitaire et Sécurité,Sciences Humaines et Sociales,23-Sep-21
PNUD Haiti,Associé.e aux achats,"Management/Gestion, Finance, Comptabilité et Commerce",22-Sep-21
Group Croissance S.A.,Conseiller Technique,Santé et Professions médicales,22-Sep-21
Group Croissance S.A.,Assistante des Operations,"Management/Gestion, Finance, Comptabilité et Commerce",22-Sep-21
Group Croissance S.A.,Chargé de Suivi & Évaluation,"Management/Gestion, Finance, Comptabilité et Commerce",22-Sep-21
Group Croissance S.A.,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",22-Sep-21
CHARESS,Directeur Technique,Santé et Professions médicales,22-Sep-21
PNUD Haiti,Security Operations Associate,Sécurité,22-Sep-21
PNUD Haiti,ICT Analyst,Sciences Informatiques,22-Sep-21
SOIL,Manadjè Senyò Vant,Marketing,21-Sep-21
IFRC,Planning Monitoring Evaluating & Reporting (PMER) Officer,"Management/Gestion, Finance, Comptabilité et Commerce",20-Sep-21
AVSF,Gestionnaire Comptable,Agriculture – Agroalimentaire,20-Sep-21
IFRC,Human Resources Officer,"Management/Gestion, Finance, Comptabilité et Commerce",20-Sep-21
CFI,Officier de Promotion des Investissements dans le secteur manufacture légère,Sciences de l’Ingénieur,20-Sep-21
PNUD Haiti,Associé.e aux finances,"Management/Gestion, Finance, Comptabilité et Commerce",20-Sep-21
Clean Cooking Alliance,Agent du Genre,"Management/Gestion, Finance, Comptabilité et Commerce",19-Sep-21
CRS,Emergency  Response Program Manager I,Sciences Humaines et Sociales,17-Sep-21
CRS,Field Assistant,Secrétariat,17-Sep-21
CRS,Emergency MEAL Manager,Sciences économiques et politiques,17-Sep-21
CRS,Senior Emergency MEAL Officer,Sciences économiques et politiques,17-Sep-21
CRS,Ingénieur civil - WASH,Sciences de l’Ingénieur,17-Sep-21
CRS,Officier de projet Senior - WASH,Sciences de l’Ingénieur,17-Sep-21
CRS,Officier de projet Senior – Livelihoods,"Management/Gestion, Finance, Comptabilité et Commerce",17-Sep-21
CRS,Officier de projet - Livelihoods,"Management/Gestion, Finance, Comptabilité et Commerce",17-Sep-21
CRS,Officier de projet Senior - Liaison Départemental ( COUD),Sciences Humaines et Sociales,17-Sep-21
CRS,Officier de projet – Liaison Départemental (COUD),Sciences Humaines et Sociales,17-Sep-21
CRS,Officier Senior de projet CTWWC Sud,"Management/Gestion, Finance, Comptabilité et Commerce",17-Sep-21
CRS,Project Manager-Shelter,Sciences de l’Ingénieur,17-Sep-21
CRS,Procurement Manager,"Management/Gestion, Finance, Comptabilité et Commerce",17-Sep-21
CRS,Project Manager-Distribution,Sciences économiques et politiques,17-Sep-21
CRS,MEAL Officer,Sciences économiques et politiques,17-Sep-21
CRS,Project Officer-WASH,Sciences Humaines et Sociales,17-Sep-21
CRS,Program Manager I – Emergency Shelter and WASH,Sciences de l’Ingénieur,17-Sep-21
CRS,Officier de Projet-Appui Psychosocial (PSS),Sciences Humaines et Sociales,17-Sep-21
CRS,Project Officer-Distribution,Sciences Humaines et Sociales,17-Sep-21
ACTED,Responsable Finance,"Management/Gestion, Finance, Comptabilité et Commerce",15-Sep-21
CDS,Infirmiers (eres),Santé et Professions médicales,15-Sep-21
Ambassade de Suisse,Formatrice Terrain,Métiers du bâtiment et autres,15-Sep-21
CRS,"Monitoring, Evaluation, Adaptation and Learning Specialist (MEAL)",Sciences Humaines et Sociales,15-Sep-21
CRS,Field Manager,Sciences Humaines et Sociales,15-Sep-21
CRS,Technical Coordinator,Sciences de l’Education,15-Sep-21
CRS,Project Director,Sciences Humaines et Sociales,15-Sep-21
Secteur ong,Protection Gender and Inclusion Officer - Haiti,Santé et Professions médicales,14-Sep-21
IFRC,Water Sanitation and Hygiene  (WASH) Officer,Santé et Professions médicales,14-Sep-21
ACTED,Chargé Informatique et Communication,Sciences Informatiques,14-Sep-21
IFRC,Community Engagement and Accountability Officer,Communication et Journalisme,14-Sep-21
IFRC,Shelter Officer,Métiers du bâtiment et autres,14-Sep-21
COTN,Directeur de pays,Sciences Humaines et Sociales,14-Sep-21
BEST Project_USAID/LUMOS,Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce",13-Sep-21
OIM,Senior Finance Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",13-Sep-21
Caritas Suisse,Chef-fe Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",13-Sep-21
UTE/MEF,Assistant (e) Spécialiste en Passation de Marché,"Management/Gestion, Finance, Comptabilité et Commerce",13-Sep-21
Secteur international,Associé(e) national(e) des affaires humanitaires,Sciences Humaines et Sociales,13-Sep-21
Plan International-Haiti,Child Protection in Emergency Specialist,Sciences Humaines et Sociales,12-Sep-21
Ayiti Air Anbilans,Accountant/Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",12-Sep-21
PNUD Haiti,Logisticien/Logisticienne,Transport et Logistique,12-Sep-21
PNUD Haiti,Assistant.e Administratif.ve,Secrétariat,11-Sep-21
PNUD Haiti,Chauffeur (H/F),Transport et Logistique,11-Sep-21
Unilever,Safety Health &  Environmental Coordonator (SHE Coordonator),Sciences de l’Ingénieur,11-Sep-21
ISPD,Chauffeur de camion,Transport et Logistique,10-Sep-21
GHSC-PSM,Chauffeur Regional,Transport et Logistique,10-Sep-21
GHSC-PSM,General Service Officer,Sciences de l’Ingénieur,10-Sep-21
GHSC-PSM,"Data Analyst (HIV, OI, FP, MCH and Lab)",Santé et Professions médicales,10-Sep-21
GHSC-PSM,Operation Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",10-Sep-21
FONKOZE,Direktè Jeneral Adjwen,"Management/Gestion, Finance, Comptabilité et Commerce",10-Sep-21
OIM,Senior Finance Assistant,"Management/Gestion, Finance, Comptabilité et Commerce",10-Sep-21
Consortium Progettomondo/CISV,Responsable Reseautage,Agriculture – Agroalimentaire,10-Sep-21
Clean Cooking Alliance,"Agent Principal, Engagement du Gouvernement",Sciences économiques et politiques,10-Sep-21
Secteur international,Field Security Associate,Sécurité,09-Sep-21
Mercy Corps Haiti,Officier senior des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce",08-Sep-21
PNUD Haiti,Analyste Financier,"Management/Gestion, Finance, Comptabilité et Commerce",08-Sep-21
Plan International-Haiti,Finance Officer,"Management/Gestion, Finance, Comptabilité et Commerce",08-Sep-21
Plan International-Haiti,Child Rights & Gender Advisor,Sciences Humaines et Sociales,08-Sep-21
